column_a,column_b,common_n,equality_rate,mean_absolute_difference,max_absolute_difference
dm05_lot_floor_sell,dm06_soft_under_buy,1714613,0.060549523420153704,0.0054363088568140224,0.11458333333333333
dm05_lot_floor_sell,dm06_soft_under_sell,1714613,0.8150643906234235,0.00010433907545758605,0.041666666666666664
dm05_lot_floor_sell,dm07_fresh_match_buy,1714613,0.04769881016882527,0.010832428847505824,0.11122345803842264
dm05_lot_floor_sell,dm07_fresh_match_sell,1714613,0.062342931028751096,0.010318736971440125,0.12032355915065722
dm05_lot_floor_sell,dm08_adaptive_repeat_buy,1714613,0.039168605393753574,0.012500073269784794,0.12740141557128412
dm05_lot_floor_sell,dm08_adaptive_repeat_sell,1714613,0.03656860177777726,0.01241724138340845,0.11931243680485337
dm05_lot_floor_sell,dm09_two_level_buy,1714613,0.036804223460337696,0.013262827969834698,0.12740141557128412
dm05_lot_floor_sell,dm09_two_level_sell,1714613,0.036845632221381736,0.013261788065734548,0.12436804853387258
dm05_lot_floor_sell,dm10_excess_cancel_buy,1714613,0.03696111017471581,0.013603018884079653,0.12841253791708795
dm05_lot_floor_sell,dm10_excess_cancel_sell,1714613,0.036866044990910486,0.013622503870252692,0.12841253791708795
dm05_lot_floor_sell,dm11_recent_buy,1714613,0.018081631248567463,0.010916027556097871,0.11550574646012546
dm05_lot_floor_sell,dm11_recent_sell,1714613,0.03656743533380419,0.010644430965512567,0.09979062966247453
dm05_lot_floor_sell,dm12_persistent_buy,1714613,0.026990347092900848,0.005739114130821112,0.10810810810810811
dm05_lot_floor_sell,dm12_persistent_sell,1714613,0.03657676688558876,0.0022040132627243136,0.07317073170731707
dm06_soft_under_buy,dm06_soft_under_sell,1714613,0.0578077968614492,0.005411147582171171,0.11458333333333333
dm06_soft_under_buy,dm07_fresh_match_buy,1714613,0.05579684745187398,0.009772881320965071,0.11627906976744187
