period,formal_column,group,typical_within_std,mean_return
2024,dm05_lot_floor_sell,4,0.010826524160630676,-1.8382291454370835e-05
2024,dm05_lot_floor_sell,5,0.010738278689011959,-0.00012394531152576713
2024,dm05_lot_floor_sell,6,0.010077946546758152,-5.4447663304843894e-05
2024,dm05_lot_floor_sell,7,0.00954686749895892,-0.00027802448574711124
2024,dm05_lot_floor_sell,8,0.009337225616470757,-0.0002508543632973126
2024,dm05_lot_floor_sell,9,0.008913131143374692,-0.0003048012548908404
2024,dm05_lot_floor_sell,10,0.008148462281648764,-0.00033328614045176005
2024,dm06_soft_under_buy,1,0.010410993317393976,-0.00017107162287146547
2024,dm06_soft_under_buy,2,0.010949140699199306,-4.981771500827875e-05
2024,dm06_soft_under_buy,3,0.010857291913119786,-2.3853221236973775e-05
2024,dm06_soft_under_buy,4,0.010547277164999208,-3.7189146987139744e-05
2024,dm06_soft_under_buy,5,0.010571724481367272,-3.571109546454857e-05
2024,dm06_soft_under_buy,6,0.01010171626428882,-4.517275661521034e-05
2024,dm06_soft_under_buy,7,0.009679465655237987,-7.598906747472381e-05
2024,dm06_soft_under_buy,8,0.009445871019676427,-0.00013135753694186377
2024,dm06_soft_under_buy,9,0.009056379025897456,-0.00015379189031920906
2024,dm06_soft_under_buy,10,0.008577408644968657,-0.00014843231398405725
2024,dm06_soft_under_sell,1,0.010572538999963393,0.00039476020236034877
2024,dm06_soft_under_sell,2,0.010926388988103358,0.00011526065329617012
2024,dm06_soft_under_sell,3,0.010967968538723678,-8.489501126848535e-06
2024,dm06_soft_under_sell,4,0.010831397388620333,-2.4764185134007133e-05
2024,dm06_soft_under_sell,5,0.010741764858068839,-0.00012529008352086973
2024,dm06_soft_under_sell,6,0.010094030674898332,-3.954121816197245e-05
2024,dm06_soft_under_sell,7,0.009525528001700185,-0.0002900513890638079
2024,dm06_soft_under_sell,8,0.009262937722316216,-0.00025447693893199916
2024,dm06_soft_under_sell,9,0.008951914858120082,-0.00031385882076795753
2024,dm06_soft_under_sell,10,0.008143619815733302,-0.0003247163691341101
2024,dm07_fresh_match_buy,1,0.010772023731492313,-8.560842014019465e-05
2024,dm07_fresh_match_buy,2,0.013301748382354945,0.00011712330509513192
2024,dm07_fresh_match_buy,3,0.011824770859716217,0.00012255483248101837
2024,dm07_fresh_match_buy,4,0.010719938973499635,-3.165330374181731e-05
2024,dm07_fresh_match_buy,5,0.010135912247418739,-4.9950291534003374e-05
2024,dm07_fresh_match_buy,6,0.009657858231776653,-0.00010171229942496908
2024,dm07_fresh_match_buy,7,0.009117570116168778,-0.00010981390680088425
2024,dm07_fresh_match_buy,8,0.008540195645327084,-0.00019693397389345966
2024,dm07_fresh_match_buy,9,0.008073117652177822,-0.00023586548068078695
2024,dm07_fresh_match_buy,10,0.0074789638223734635,-0.00027632302349082753
2024,dm07_fresh_match_sell,1,0.011124913859948432,0.00043066716907557334
2024,dm07_fresh_match_sell,2,0.013351987398666193,0.00026850332244335616
2024,dm07_fresh_match_sell,3,0.011719851194465388,5.5497888012188286e-05
2024,dm07_fresh_match_sell,4,0.010841626471355439,-8.26125735260622e-05
2024,dm07_fresh_match_sell,5,0.010165075956465807,-6.517790114539289e-05
2024,dm07_fresh_match_sell,6,0.009417893020240087,-0.00020210271708763803
2024,dm07_fresh_match_sell,7,0.009064381546156842,-0.00020324996259672685
2024,dm07_fresh_match_sell,8,0.008335966844628161,-0.0003422465461818827
2024,dm07_fresh_match_sell,9,0.0079647860782435,-0.0003232651384728372
2024,dm07_fresh_match_sell,10,0.007374177796253499,-0.0004002435509928608
2024,dm08_adaptive_repeat_buy,1,,
2024,dm08_adaptive_repeat_buy,2,0.009024043811269424,-0.0007694451572560679
2024,dm08_adaptive_repeat_buy,3,0.010163804089008084,-0.00033881202953303104
2024,dm08_adaptive_repeat_buy,4,0.016068138797603073,-0.00037790676781901254
2024,dm08_adaptive_repeat_buy,5,0.013341940256725814,2.5602700518088608e-05
2024,dm08_adaptive_repeat_buy,6,0.011214391694858585,0.00010270093430410866
2024,dm08_adaptive_repeat_buy,7,0.010364022908862992,1.4769413198217597e-05
