date,label,record_id,short_alias,formal_column,aggregation,factor_count,n,pearson_ic,rank_ic,pearson_ic_rolling20,pearson_ic_cumulative,rank_ic_rolling20,rank_ic_cumulative
2024-01-04,ret_intraday_vwap_0944_0945_from_d1_0935_last,dm12_persistent_sell,dm12_persistent_sell,dm12_persistent_sell,sell,2834,2823,0.06688155967037165,0.15623755892888308,,-0.08045348471053036,,-0.0743646043462271
2024-01-05,ret_intraday_vwap_0944_0945_from_d1_0935_last,dm01_exact_buy,dm01_exact_buy,dm01_exact_buy,buy,2835,2827,0.048565025212647044,0.06941831632296747,,-0.055800820148617425,,-0.04434536978637996
2024-01-05,ret_intraday_vwap_0944_0945_from_d1_0935_last,dm01_exact_sell,dm01_exact_sell,dm01_exact_sell,sell,2835,2827,0.02333727479045963,0.03539731081006875,,-0.04235355583893875,,-0.015163055807726283
2024-01-05,ret_intraday_vwap_0944_0945_from_d1_0935_last,dm02_confirmed_buy,dm02_confirmed_buy,dm02_confirmed_buy,buy,2835,2827,0.0486157868552659,0.06945965268115627,,-0.05584465679417988,,-0.04443344348109954
2024-01-05,ret_intraday_vwap_0944_0945_from_d1_0935_last,dm02_confirmed_sell,dm02_confirmed_sell,dm02_confirmed_sell,sell,2835,2827,0.023368399332800716,0.03545528742811775,,-0.04244015020965389,,-0.01522009905832157
2024-01-05,ret_intraday_vwap_0944_0945_from_d1_0935_last,dm03_price_room_buy,dm03_price_room_buy,dm03_price_room_buy,buy,2835,2827,0.04743636111304353,0.05123906317742459,,-0.07514687724168793,,-0.09015002301735106
2024-01-05,ret_intraday_vwap_0944_0945_from_d1_0935_last,dm03_price_room_sell,dm03_price_room_sell,dm03_price_room_sell,sell,2835,2827,0.05091149199524946,0.05835068229044242,,-0.05722344355337934,,-0.0731787415194839
2024-01-05,ret_intraday_vwap_0944_0945_from_d1_0935_last,dm04_price_cap_buy,dm04_price_cap_buy,dm04_price_cap_buy,buy,2835,2827,0.04330002420294317,0.06836236638839549,,-0.040823043179811926,,-0.019757963728680245
2024-01-05,ret_intraday_vwap_0944_0945_from_d1_0935_last,dm04_price_cap_sell,dm04_price_cap_sell,dm04_price_cap_sell,sell,2835,2827,0.010510639964131003,0.02285514328560934,,-0.031816097306887656,,-0.0005388169101839223
2024-01-05,ret_intraday_vwap_0944_0945_from_d1_0935_last,dm05_lot_floor_buy,dm05_lot_floor_buy,dm05_lot_floor_buy,buy,2835,2827,0.049700346673348945,0.06994178414976736,,-0.05350832840857494,,-0.044156996632600615
2024-01-05,ret_intraday_vwap_0944_0945_from_d1_0935_last,dm05_lot_floor_sell,dm05_lot_floor_sell,dm05_lot_floor_sell,sell,2835,2827,0.02392197927367647,0.036134072109786496,,-0.04120809028237733,,-0.014562309423067389
