period,formal_column,mean,std,icir,ordinary_t,nw_se,nw_t,ci_low,ci_high,positive_fraction,valid_days
2024Q2,dm01_exact_sell,-0.0002459228001699211,0.002771834499745065,-0.08872203596301995,-0.6814868892795963,0.00036281397404706964,-0.6778206402215817,-0.0009570381893021776,0.0004651925889623354,0.4406779661016949,59
2024Q2,dm02_confirmed_buy,0.0007405034629242697,0.002270871363899715,0.3260878069520504,2.5047279718015414,0.0002725619220611472,2.7168265373405434,0.00020628209568442112,0.001274724830164118,0.5932203389830508,59
2024Q2,dm02_confirmed_sell,-0.00024407276753635757,0.002769057714922259,-0.0881428964882409,-0.6770384345654744,0.0003627056714460368,-0.6729223906626192,-0.0009549758835705896,0.0004668303484978745,0.4406779661016949,59
2024Q2,dm03_price_room_buy,0.0014335116854768588,0.0022568866745300096,0.6351722049913665,1.270344409982733,0.0005819121733042177,2.4634502442818524,0.000292963825800592,0.002574059545153126,0.75,4
2024Q2,dm03_price_room_sell,0.0006357436621228792,0.002548417261616277,0.24946607908301208,0.6110646018861751,0.0006658036240243685,0.9548516096686355,-0.0006692314409648829,0.0019407187652106415,0.5,6
2024Q2,dm04_price_cap_buy,0.0008221359068539453,0.0022318843805725747,0.3683595413858454,2.829423325002717,0.0002757511049622723,2.9814419309994364,0.0002816637411278916,0.001362608072579999,0.6101694915254238,59
2024Q2,dm04_price_cap_sell,-0.0006189095159286916,0.003104921565651394,-0.19933177146097994,-1.5310963887726232,0.00041924830675419615,-1.4762361730695222,-0.001440636197166916,0.00020281716530953277,0.4576271186440678,59
2024Q2,dm05_lot_floor_buy,0.0007760610594534431,0.0022593418957760282,0.3434898723846686,2.638395772703428,0.00027132691029493195,2.8602436028548217,0.0002442603152753765,0.0013078618036315099,0.5932203389830508,59
2024Q2,dm05_lot_floor_sell,-0.00023938891599696618,0.0027610696098806643,-0.08670151420315432,-0.6659669671553285,0.00036137648236620693,-0.6624363445830916,-0.0009476868214347318,0.00046890898944079934,0.4576271186440678,59
2024Q2,dm06_soft_under_buy,0.00074553288452988,0.0022564373755456866,0.3304026482674192,2.5378708968238146,0.00027160662827052553,2.74489944990339,0.00021318389311965,0.0012778818759401102,0.5932203389830508,59
2024Q2,dm06_soft_under_sell,-0.00023223484080271407,0.002766312375834715,-0.08395105441866046,-0.64484028467698,0.0003618500439864771,-0.6417985700490699,-0.0009414609270162091,0.000476991245410781,0.4406779661016949,59
2024Q2,dm07_fresh_match_buy,0.00042784696988415255,0.0017501711818508818,0.2444600701467875,1.8777334283316582,0.0002057657764929014,2.0792912075877332,2.4546047958065814e-05,0.0008311478918102393,0.6271186440677966,59
2024Q2,dm07_fresh_match_sell,-0.0004037412100582266,0.0026064242534852983,-0.1549023377596129,-1.1898274330171577,0.00035876631933565465,-1.12535984650358,-0.0011069231959561097,0.00029944077583965646,0.4915254237288136,59
2024Q2,dm08_adaptive_repeat_buy,,,,,,,,,,0
2024Q2,dm08_adaptive_repeat_sell,,,,,,,,,,0
2024Q2,dm09_two_level_buy,,,,,,,,,,0
2024Q2,dm09_two_level_sell,,,,,,,,,,0
2024Q2,dm10_excess_cancel_buy,,,,,,,,,,0
2024Q2,dm10_excess_cancel_sell,,,,,,,,,,0
2024Q2,dm11_recent_buy,0.0012050999474808705,0.0024362942076359756,0.4946446712813977,3.7994378135189733,0.00029038781968572226,4.149967270614562,0.0006359398208968549,0.0017742600740648861,0.6779661016949152,59
2024Q2,dm11_recent_sell,-0.00042611279683203756,0.002638895302264292,-0.16147393057481796,-1.2403047952263937,0.0003500362368969004,-1.2173390978304477,-0.0011121838211499624,0.0002599582274858872,0.423728813559322,59
2024Q2,dm12_persistent_buy,0.0007550097566059734,0.002369061798753522,0.31869567818079736,2.447947953322534,0.00026868648394241405,2.810002741960738,0.00022838424807884185,0.0012816352651331049,0.5932203389830508,59
2024Q2,dm12_persistent_sell,-0.00028768141657438596,0.0027718114082775124,-0.10378823599443943,-0.797212567587472,0.00034765994194879056,-0.8274793321364609,-0.0009690949027940155,0.00039373206964524356,0.423728813559322,59
2024Q3,dm01_exact_buy,-0.00034363771349689106,0.002934881621085685,-0.1170874188001392,-0.9366993504011136,0.0003458751097397289,-0.9935312019285762,-0.0010215529285867598,0.00033427750159297756,0.515625,64
2024Q3,dm01_exact_sell,-0.0008676751196032592,0.0030435460555782554,-0.28508690315790414,-2.280695225263233,0.0003841612881679513,-2.2586219547033606,-0.0016206312444124438,-0.00011471899479407468,0.421875,64
2024Q3,dm02_confirmed_buy,-0.0003463972359206347,0.0029326079303490047,-0.11811917724692594,-0.9449534179754076,0.00034544590364483577,-1.0027539254793916,-0.0010234712070645129,0.0003306767352232434,0.515625,64
2024Q3,dm02_confirmed_sell,-0.0008663960303515331,0.0030432434795106466,-0.28469494346566365,-2.277559547725309,0.00038395105380631194,-2.2565272884720233,-0.0016189400958119046,-0.00011385196489116175,0.421875,64
2024Q3,dm03_price_room_buy,-0.001656619225182716,,,,,,,,0.0,1
2024Q3,dm03_price_room_sell,-0.0020267037429648627,,,,,,,,0.0,1
2024Q3,dm04_price_cap_buy,-0.0002869965104839422,0.0026837771723875895,-0.1069375332038536,-0.8555002656308288,0.0003296218111785971,-0.8706842227999303,-0.0009330552603939925,0.0003590622394261081,0.46875,64
2024Q3,dm04_price_cap_sell,-0.0010974940940039367,0.0029849700396487266,-0.3676734035605565,-2.941387228484452,0.0003782523611817053,-2.901486432431604,-0.001838868721920079,-0.00035611946608779424,0.34375,64
2024Q3,dm05_lot_floor_buy,-0.0003287486299022093,0.00292828816549852,-0.11226648858386593,-0.8981319086709274,0.00034484652903106873,-0.953318656928082,-0.0010046478268031039,0.00034715056699868537,0.515625,64
2024Q3,dm05_lot_floor_sell,-0.000896318274096643,0.003050759168265216,-0.293801714478277,-2.350413715826216,0.00038389039041722693,-2.3348286293972857,-0.0016487434393144076,-0.00014389310887887822,0.40625,64
