period,formal_column,group,mean,std,icir,ordinary_t,nw_se,nw_t,ci_low,ci_high,positive_fraction,valid_days,stock_days,all_stock_days,daily_mean_n
2024-02,dm02_confirmed_buy,1,0.0007429970338438068,0.006797979335838744,0.10929674792136372,0.4233044844940718,0.0019631229650219663,0.3784770730525752,-0.003104723977599247,0.004590718045286861,0.6,15,4240,4240,282.6666666666667
2024-02,dm02_confirmed_buy,2,0.0006928876853678153,0.009183773837619875,0.07544694562593764,0.292204763931473,0.0028156119108829506,0.24608778031150322,-0.004825711659962768,0.006211487030698399,0.6,15,4250,4250,283.3333333333333
2024-02,dm02_confirmed_buy,3,0.0005788168231140073,0.00994817737563181,0.05818320293844244,0.22534257600959404,0.003124495735143317,0.18525127642315622,-0.005545194817766894,0.006702828463994908,0.6666666666666666,15,4241,4241,282.73333333333335
2024-02,dm02_confirmed_buy,4,0.0005336016108516632,0.010171059220449613,0.05246273758575906,0.20318730896609477,0.003190201538735185,0.16726266487327301,-0.005719193405069299,0.006786396626772626,0.6,15,4248,4248,283.2
2024-02,dm02_confirmed_buy,5,0.000607907206400519,0.010704749152263063,0.05678855223543496,0.2199411170630696,0.0033116460579802986,0.183566478952545,-0.005882919067240866,0.007098733480041905,0.5333333333333333,15,4248,4248,283.2
2024-02,dm02_confirmed_buy,6,0.0006495745916459268,0.010752171134564576,0.0604133419675367,0.23397986732900328,0.003356152140362831,0.19354742111771542,-0.005928483603465222,0.007227632786757076,0.5333333333333333,15,4247,4247,283.1333333333333
2024-02,dm02_confirmed_buy,7,0.0008810243097783389,0.010872330179980847,0.0810336234453736,0.31384187408677483,0.0033722879304697367,0.26125417756235847,-0.0057286600339423455,0.007490708653499023,0.7333333333333333,15,4243,4243,282.8666666666667
2024-02,dm02_confirmed_buy,8,0.0002376711744507388,0.011256435779717364,0.02111424780470843,0.08177513011533227,0.003479017410966976,0.06831560362461056,-0.006581202951044534,0.007056545299946012,0.6,15,4245,4245,283.0
2024-02,dm02_confirmed_buy,9,0.0007974083098653779,0.011417069827383637,0.06984351693749025,0.2705027779394554,0.003556019486069749,0.22424182797341885,-0.00617238988283133,0.007767206502562085,0.6666666666666666,15,4245,4245,283.0
2024-02,dm02_confirmed_buy,10,0.0008771190957123545,0.010753146142571553,0.08156860179179118,0.31591383631303177,0.00324637397063218,0.27018424360442655,-0.005485773886726718,0.007240012078151428,0.6666666666666666,15,4255,4255,283.6666666666667
