period,formal_column,group,return_percentile,median_return,winsorized_mean,tail_contribution,positive_fraction
full,dm03_price_room_buy,10,0.4986625092242245,-0.0004542838378022787,0.00015073048616783018,5.2901641890875854e-05,0.4886357080251093
full,dm03_price_room_sell,1,0.5048411745956143,-0.0018793788754047406,-0.0015076039441665591,6.0771542786830644e-05,0.42530800473096264
full,dm03_price_room_sell,2,0.5003043003139117,-0.0004913666664315138,-6.222153278962584e-05,6.888555260730978e-05,0.4838850708003593
full,dm03_price_room_sell,3,0.49388750255694475,-0.0007778018555680122,-4.551024769647665e-05,0.00015163088142211087,0.473480046960401
full,dm03_price_room_sell,4,0.4972456648494778,-0.0005281418837305436,3.694792993122605e-05,0.00012000361717181483,0.4829172068473769
full,dm03_price_room_sell,5,0.49806074789107047,-0.0005155325016825751,4.9167473816290536e-05,0.00011159296995410661,0.48617965885545344
full,dm03_price_room_sell,6,0.49768429526725616,-0.0005272894433854482,5.4106618184047944e-05,0.0001233796303821535,0.48678194809833103
full,dm03_price_room_sell,7,0.49919611267465375,-0.0004931560522495087,0.00011000971085875509,0.00010532128123875896,0.488848998239849
full,dm03_price_room_sell,8,0.4978248328989651,-0.0005502946102621651,8.899871873685315e-05,0.00010809433081625805,0.48807188252464606
full,dm03_price_room_sell,9,0.4989431875032803,-0.000500528122695464,0.00012486858330288197,9.320499839532297e-05,0.48957681487096905
full,dm03_price_room_sell,10,0.5045756030567694,-0.0003475053901073416,0.0002903484888455073,7.33624679155466e-05,0.49682082972002284
full,dm04_price_cap_buy,1,0.49560858854997286,-0.0004523950045117883,-8.778882111891678e-05,3.58088761697289e-05,0.4569399094437805
full,dm04_price_cap_buy,2,0.49723141937014875,-0.0005294344482573151,4.198710494018802e-05,0.00012470326072391364,0.4834684929539402
full,dm04_price_cap_buy,3,0.4984530976447482,-0.0005006822158381094,5.441476412325267e-05,0.00010396180857916101,0.486921860654213
full,dm04_price_cap_buy,4,0.5011938268736386,-0.0004386113000350716,0.00012050446284818686,0.00010959788602256494,0.4903946097968366
full,dm04_price_cap_buy,5,0.5005996728185929,-0.0004798436225567284,9.943128067014133e-05,0.00010269648222109593,0.4905887723645751
full,dm04_price_cap_buy,6,0.5006917148698615,-0.0004828092938295768,9.725482367085236e-05,0.0001010359401696604,0.49192102384679154
full,dm04_price_cap_buy,7,0.5014007409557482,-0.00043742906861127397,0.00012230143045780984,9.181573109937954e-05,0.49221283314898623
full,dm04_price_cap_buy,8,0.501532540619391,-0.00045970872496585566,0.00010519833192342922,9.368202264966119e-05,0.4922518571759135
full,dm04_price_cap_buy,9,0.5010008430947354,-0.0004586769704997447,0.00010024397759717046,8.27184009167585e-05,0.49072971945545046
full,dm04_price_cap_buy,10,0.5040390686546135,-0.00037083594695983815,0.00016967382981130546,7.670188349417036e-05,0.49429569401412604
full,dm04_price_cap_sell,1,0.5119374964109812,-0.000131271040348325,0.0004249948153336255,0.00011916365477797843,0.4761676889310858
full,dm04_price_cap_sell,2,0.5043522567817463,-0.0003823125153836677,0.00026672848338706354,0.0001403055981962563,0.4928206323191503
full,dm04_price_cap_sell,3,0.5016771051665198,-0.00045302726650174434,0.0001678466663822333,0.00013298733377443522,0.49000455890772415
full,dm04_price_cap_sell,4,0.49928319504640356,-0.0004871261146908895,8.762652755537629e-05,0.00010077088701752978,0.4887557236799521
full,dm04_price_cap_sell,5,0.5000500445078591,-0.0004705583349167154,8.840209533003828e-05,0.00010159796396431887,0.4897688970608986
full,dm04_price_cap_sell,6,0.49956839578658746,-0.0004822069784903678,6.306876767534117e-05,9.09356824842013e-05,0.48938653321962083
full,dm04_price_cap_sell,7,0.4962872905656761,-0.0005475441514876225,-4.3556349899868846e-05,7.700937301045084e-05,0.48564422900720505
full,dm04_price_cap_sell,8,0.49690714262144975,-0.000542050993821426,-2.9667759375869293e-05,6.261799364054873e-05,0.4871321436524119
full,dm04_price_cap_sell,9,0.4974340377331554,-0.0005348433046562348,-3.622511628818972e-05,5.838359955684208e-05,0.48668788372063626
